ssn,manager_id,department_id,job_id,first_name,last_name,gender,birth_date,home_address,phone_number,email,staff_password,wage,hire_date,employment_type,employment_status,job_change_history_document_id
264736028,,6,1,Staff808,Last411,F,1985-03-11,"873 Elm St, Anytown, USA",555-1484,staff808.last411@clinic.org,password123,57152.74,2024-08-14,Full_Time,Active,JCH6237
257975052,,6,1,Staff471,Last43,F,1993-04-23,"471 Oak St, Anytown, USA",555-5395,staff471.last43@hospital.com,password123,60889.12,2024-08-14,Full_Time,Active,JCH8051
624654293,,8,1,Staff965,Last502,M,1984-11-23,"195 Maple Ave, Anytown, USA",555-4339,staff965.last502@clinic.org,password123,55812.76,2024-08-14,Full_Time,Active,JCH8792
885442028,,11,2,Staff221,Last647,M,1969-01-29,"127 Birch Rd, Anytown, USA",555-5179,staff221.last647@healthcare.net,password123,187993.01,2024-08-14,Shift_Based,Active,JCH6214
792157112,,9,3,Staff902,Last269,F,1963-11-29,"867 Elm St, Anytown, USA",555-4587,staff902.last269@hospital.com,password123,69396.02,2024-08-14,Full_Time,Active,JCH3979
993644056,,6,2,Staff522,Last264,M,1968-03-25,"143 Maple Ave, Anytown, USA",555-7626,staff522.last264@clinic.org,password123,152101.2,2024-08-14,Full_Time,Active,JCH7514
653962228,,4,2,Staff768,Last133,M,1998-10-16,"719 Birch Rd, Anytown, USA",555-5681,staff768.last133@healthcare.net,password123,138280.25,2024-08-14,Shift_Based,Active,JCH1245
796308034,,2,1,Staff4,Last629,M,1972-07-26,"967 Birch Rd, Anytown, USA",555-8458,staff4.last629@hospital.com,password123,49021.63,2024-08-14,Full_Time,Active,JCH5042
205056907,,2,1,Staff36,Last832,M,1966-02-16,"873 Oak St, Anytown, USA",555-2533,staff36.last832@hospital.com,password123,63568.02,2024-08-14,Full_Time,Active,JCH6708
330206837,,4,1,Staff690,Last111,F,1981-08-27,"145 Maple Ave, Anytown, USA",555-6122,staff690.last111@hospital.com,password123,54491.43,2024-08-14,Full_Time,Active,JCH7444
500566537,,4,2,Staff803,Last563,M,1974-05-05,"448 Birch Rd, Anytown, USA",555-8866,staff803.last563@clinic.org,password123,125001.36,2024-08-14,Full_Time,Active,JCH7825
487375219,,10,1,Staff428,Last780,M,1976-03-08,"210 Oak St, Anytown, USA",555-2116,staff428.last780@healthcare.net,password123,55454.54,2024-08-14,Full_Time,Active,JCH2218
640406783,,6,2,Staff714,Last155,F,1993-03-01,"278 Maple Ave, Anytown, USA",555-3679,staff714.last155@healthcare.net,password123,195410.07,2024-08-14,Full_Time,Active,JCH3328
673800940,,8,3,Staff655,Last129,M,1978-05-23,"761 Main St, Anytown, USA",555-8305,staff655.last129@healthcare.net,password123,68254.44,2024-08-14,Shift_Based,Active,JCH9684
956739035,,1,1,Staff739,Last989,M,1985-12-06,"618 Birch Rd, Anytown, USA",555-2451,staff739.last989@hospital.com,password123,54114.13,2024-08-14,Full_Time,Active,JCH7531
220936358,,10,1,Staff4,Last859,F,1960-12-23,"881 Birch Rd, Anytown, USA",555-6766,staff4.last859@healthcare.net,password123,57239.01,2024-08-14,Full_Time,Active,JCH3065
610637315,,2,4,Staff880,Last789,M,1997-09-27,"456 Birch Rd, Anytown, USA",555-5506,staff880.last789@clinic.org,password123,36615.46,2024-08-14,Full_Time,Active,JCH6426
114346309,,4,4,Staff243,Last377,F,1981-11-27,"167 Elm St, Anytown, USA",555-3544,staff243.last377@healthcare.net,password123,30284.24,2024-08-14,Full_Time,Active,JCH9647
111237002,,7,1,Staff758,Last416,M,1966-04-01,"384 Main St, Anytown, USA",555-4427,staff758.last416@clinic.org,password123,46630.1,2024-08-14,Full_Time,Active,JCH8294
516638536,,12,2,Staff946,Last262,M,1967-04-23,"473 Cedar Blvd, Anytown, USA",555-7629,staff946.last262@healthcare.net,password123,171454.46,2024-08-14,Shift_Based,Active,JCH3327
635009565,,9,2,Staff666,Last747,F,1989-08-30,"275 Birch Rd, Anytown, USA",555-8891,staff666.last747@clinic.org,password123,184799.79,2024-08-14,Shift_Based,Active,JCH3626
301612276,,5,3,Staff618,Last653,F,1987-03-07,"711 Elm St, Anytown, USA",555-3747,staff618.last653@healthcare.net,password123,67635.17,2024-08-14,Full_Time,Active,JCH7439
525009906,,4,1,Staff621,Last529,M,1999-12-20,"294 Maple Ave, Anytown, USA",555-7651,staff621.last529@healthcare.net,password123,52914.99,2024-08-14,Full_Time,Active,JCH3918
433000097,,10,2,Staff806,Last695,F,1994-11-14,"971 Cedar Blvd, Anytown, USA",555-2377,staff806.last695@clinic.org,password123,136898.53,2024-08-14,Shift_Based,Active,JCH3000
143454809,,2,1,Staff230,Last156,F,1986-10-08,"280 Elm St, Anytown, USA",555-2637,staff230.last156@hospital.com,password123,61950.95,2024-08-14,Full_Time,Active,JCH9507
477482407,,6,2,Staff656,Last166,M,1983-08-14,"176 Oak St, Anytown, USA",555-2526,staff656.last166@hospital.com,password123,219761.56,2024-08-14,Full_Time,Active,JCH1768
482407708,,4,5,Staff649,Last633,F,1965-06-24,"957 Pine St, Anytown, USA",555-7284,staff649.last633@clinic.org,password123,58106.53,2024-08-14,Shift_Based,Active,JCH3853
159509665,,10,1,Staff932,Last709,F,1993-04-24,"906 Maple Ave, Anytown, USA",555-4101,staff932.last709@healthcare.net,password123,53850.46,2024-08-14,Shift_Based,Active,JCH1992
763243124,,2,5,Staff747,Last62,F,1969-08-20,"680 Cedar Blvd, Anytown, USA",555-3973,staff747.last62@hospital.com,password123,57929.54,2024-08-14,Full_Time,Active,JCH1315
430410799,,11,1,Staff651,Last185,M,2000-04-18,"562 Main St, Anytown, USA",555-7225,staff651.last185@clinic.org,password123,51469.23,2024-08-14,Shift_Based,Active,JCH5672
473079475,,12,5,Staff311,Last492,M,1980-08-14,"755 Maple Ave, Anytown, USA",555-1272,staff311.last492@healthcare.net,password123,60947.08,2024-08-14,Shift_Based,Active,JCH6409
252293323,,1,1,Staff368,Last764,F,1962-12-30,"573 Birch Rd, Anytown, USA",555-3258,staff368.last764@clinic.org,password123,64408.23,2024-08-14,Full_Time,Active,JCH5636
357652883,,9,1,Staff824,Last303,M,1993-09-25,"587 Birch Rd, Anytown, USA",555-9679,staff824.last303@healthcare.net,password123,56338.14,2024-08-14,Shift_Based,Active,JCH7523
140548872,87.0,4,1,Staff101,Last695,M,1985-06-01,"358 Main St, Anytown, USA",555-8219,staff101.last695@healthcare.net,password123,53184.87,2024-08-14,Shift_Based,Active,JCH6630
906861432,,5,1,Staff735,Last257,M,1977-09-02,"877 Elm St, Anytown, USA",555-6461,staff735.last257@healthcare.net,password123,59532.79,2024-08-14,Shift_Based,Active,JCH6853
906178002,,4,5,Staff222,Last243,M,1967-08-13,"375 Main St, Anytown, USA",555-1965,staff222.last243@hospital.com,password123,66810.54,2024-08-14,Full_Time,Active,JCH2367
207663701,,6,1,Staff988,Last429,F,1994-01-31,"765 Maple Ave, Anytown, USA",555-9225,staff988.last429@clinic.org,password123,55159.66,2024-08-14,Full_Time,Active,JCH5915
149071061,,9,4,Staff779,Last660,M,1972-10-09,"218 Elm St, Anytown, USA",555-1967,staff779.last660@hospital.com,password123,43931.9,2024-08-14,Full_Time,Active,JCH5094
770502316,,2,2,Staff381,Last148,M,1980-05-13,"751 Main St, Anytown, USA",555-6371,staff381.last148@clinic.org,password123,156925.86,2024-08-14,Shift_Based,Active,JCH3995
152897109,,9,1,Staff587,Last424,F,1963-05-01,"586 Birch Rd, Anytown, USA",555-4723,staff587.last424@clinic.org,password123,46353.17,2024-08-14,Shift_Based,Active,JCH7356
325010888,,7,1,Staff841,Last417,F,1998-02-12,"271 Elm St, Anytown, USA",555-6436,staff841.last417@healthcare.net,password123,55625.05,2024-08-14,Shift_Based,Active,JCH3293
470292153,,4,2,Staff363,Last9,F,1990-10-13,"537 Oak St, Anytown, USA",555-5512,staff363.last9@hospital.com,password123,150027.85,2024-08-14,Full_Time,Active,JCH3937
606995981,,9,1,Staff703,Last362,M,1996-03-27,"521 Birch Rd, Anytown, USA",555-5379,staff703.last362@hospital.com,password123,61536.84,2024-08-14,Full_Time,Active,JCH3247
385123132,,3,2,Staff36,Last472,F,1983-07-22,"383 Elm St, Anytown, USA",555-6911,staff36.last472@clinic.org,password123,196673.83,2024-08-14,Full_Time,Active,JCH3162
170166737,,11,5,Staff435,Last371,M,1995-06-25,"119 Main St, Anytown, USA",555-2028,staff435.last371@healthcare.net,password123,54229.71,2024-08-14,Shift_Based,Active,JCH7223
982682121,36.0,5,1,Staff464,Last323,F,1991-03-10,"182 Cedar Blvd, Anytown, USA",555-3786,staff464.last323@hospital.com,password123,47223.51,2024-08-14,Shift_Based,Active,JCH2942
759672316,,6,2,Staff773,Last141,M,1977-12-07,"806 Pine St, Anytown, USA",555-7537,staff773.last141@clinic.org,password123,164976.95,2024-08-14,Full_Time,Active,JCH3557
790289451,,12,1,Staff184,Last166,M,1992-04-12,"476 Main St, Anytown, USA",555-7973,staff184.last166@hospital.com,password123,52282.44,2024-08-14,Full_Time,Active,JCH6817
491000328,,10,5,Staff64,Last511,F,1998-03-08,"260 Cedar Blvd, Anytown, USA",555-8606,staff64.last511@healthcare.net,password123,52678.63,2024-08-14,Shift_Based,Active,JCH6441
217643091,,8,1,Staff191,Last174,F,1986-09-12,"562 Cedar Blvd, Anytown, USA",555-3672,staff191.last174@clinic.org,password123,49550.56,2024-08-14,Shift_Based,Active,JCH9809
721834925,,5,2,Staff339,Last343,F,1976-01-27,"531 Maple Ave, Anytown, USA",555-3766,staff339.last343@clinic.org,password123,128737.44,2024-08-14,Full_Time,Active,JCH7732
359168766,,9,2,Staff937,Last47,M,1960-02-03,"413 Oak St, Anytown, USA",555-1558,staff937.last47@clinic.org,password123,180870.89,2024-08-14,Full_Time,Active,JCH4605
725694604,,11,1,Staff31,Last510,F,1981-06-23,"527 Birch Rd, Anytown, USA",555-4841,staff31.last510@clinic.org,password123,53154.86,2024-08-14,Shift_Based,Active,JCH6034
634089167,,1,2,Staff528,Last709,M,1963-06-28,"139 Cedar Blvd, Anytown, USA",555-5766,staff528.last709@healthcare.net,password123,169539.47,2024-08-14,Full_Time,Active,JCH7918
909937688,,11,1,Staff376,Last203,M,1964-04-11,"563 Main St, Anytown, USA",555-3273,staff376.last203@healthcare.net,password123,49847.93,2024-08-14,Shift_Based,Active,JCH3550
724181395,,4,1,Staff833,Last785,F,1983-08-09,"900 Cedar Blvd, Anytown, USA",555-1025,staff833.last785@hospital.com,password123,58088.96,2024-08-14,Full_Time,Active,JCH4095
210178728,,1,2,Staff351,Last888,M,1993-02-21,"860 Oak St, Anytown, USA",555-4821,staff351.last888@hospital.com,password123,143228.2,2024-08-14,Shift_Based,Active,JCH7093
283090780,,9,4,Staff124,Last473,F,1978-08-30,"667 Main St, Anytown, USA",555-1181,staff124.last473@hospital.com,password123,30379.2,2024-08-14,Shift_Based,Active,JCH9340
396656187,,7,1,Staff366,Last12,M,1999-05-10,"695 Maple Ave, Anytown, USA",555-8411,staff366.last12@hospital.com,password123,56518.89,2024-08-14,Full_Time,Active,JCH7363
588293529,,11,1,Staff479,Last579,M,1984-12-26,"946 Pine St, Anytown, USA",555-5684,staff479.last579@healthcare.net,password123,63051.44,2024-08-14,Shift_Based,Active,JCH6048
371324061,,8,1,Staff595,Last540,M,1968-01-02,"688 Elm St, Anytown, USA",555-6095,staff595.last540@healthcare.net,password123,54024.97,2024-08-14,Full_Time,Active,JCH7763
111287494,,5,4,Staff342,Last79,M,1968-11-19,"725 Birch Rd, Anytown, USA",555-5036,staff342.last79@healthcare.net,password123,32897.17,2024-08-14,Full_Time,Active,JCH5269
132544602,,9,1,Staff323,Last878,M,1985-06-14,"954 Birch Rd, Anytown, USA",555-3559,staff323.last878@hospital.com,password123,56928.17,2024-08-14,Shift_Based,Active,JCH6580
615013663,,5,2,Staff319,Last180,F,1973-03-28,"643 Maple Ave, Anytown, USA",555-9443,staff319.last180@healthcare.net,password123,140282.11,2024-08-14,Full_Time,Active,JCH4115
393647519,,11,1,Staff947,Last682,M,1973-11-25,"912 Oak St, Anytown, USA",555-4502,staff947.last682@clinic.org,password123,54367.83,2024-08-14,Shift_Based,Active,JCH3543
869405019,,7,1,Staff684,Last247,M,1977-12-08,"116 Birch Rd, Anytown, USA",555-1796,staff684.last247@hospital.com,password123,63348.34,2024-08-14,Shift_Based,Active,JCH7375
472222301,,11,2,Staff903,Last610,F,1984-03-09,"851 Birch Rd, Anytown, USA",555-9434,staff903.last610@clinic.org,password123,222859.52,2024-08-14,Full_Time,Active,JCH2358
660059072,,4,1,Staff775,Last173,F,1989-04-21,"495 Maple Ave, Anytown, USA",555-1864,staff775.last173@healthcare.net,password123,62001.45,2024-08-14,Shift_Based,Active,JCH5927
591670318,,3,2,Staff110,Last843,M,1971-02-22,"582 Oak St, Anytown, USA",555-6756,staff110.last843@healthcare.net,password123,168229.53,2024-08-14,Full_Time,Active,JCH3385
284366309,,11,1,Staff614,Last934,M,1999-01-06,"817 Birch Rd, Anytown, USA",555-6576,staff614.last934@clinic.org,password123,61796.99,2024-08-14,Full_Time,Active,JCH5870
792772762,,5,1,Staff271,Last22,F,1962-07-06,"425 Maple Ave, Anytown, USA",555-6841,staff271.last22@healthcare.net,password123,55989.4,2024-08-14,Shift_Based,Active,JCH2036
452971427,71.0,5,1,Staff879,Last380,F,1984-08-06,"984 Pine St, Anytown, USA",555-6566,staff879.last380@hospital.com,password123,61148.93,2024-08-14,Full_Time,Active,JCH4732
814019393,,8,1,Staff576,Last544,M,1983-10-15,"481 Birch Rd, Anytown, USA",555-2354,staff576.last544@hospital.com,password123,52193.38,2024-08-14,Full_Time,Active,JCH4502
951056633,,12,1,Staff170,Last710,F,1980-04-13,"474 Maple Ave, Anytown, USA",555-5658,staff170.last710@hospital.com,password123,48949.96,2024-08-14,Full_Time,Active,JCH1029
288496924,,11,1,Staff90,Last192,M,1994-12-22,"806 Pine St, Anytown, USA",555-4696,staff90.last192@clinic.org,password123,48015.77,2024-08-14,Full_Time,Active,JCH9635
107599986,,7,3,Staff871,Last592,F,1987-12-28,"815 Elm St, Anytown, USA",555-6688,staff871.last592@hospital.com,password123,66205.41,2024-08-14,Shift_Based,Active,JCH1732
445489408,,2,1,Staff232,Last359,M,1996-11-12,"172 Pine St, Anytown, USA",555-2942,staff232.last359@healthcare.net,password123,46380.56,2024-08-14,Full_Time,Active,JCH2757
350490606,4.0,6,4,Staff470,Last838,M,1969-04-07,"262 Cedar Blvd, Anytown, USA",555-5319,staff470.last838@healthcare.net,password123,32069.78,2024-08-14,Full_Time,Active,JCH4499
148336449,,3,1,Staff241,Last162,F,1969-11-20,"281 Maple Ave, Anytown, USA",555-2058,staff241.last162@clinic.org,password123,55867.77,2024-08-14,Full_Time,Active,JCH4299
410222696,,1,5,Staff546,Last130,M,1972-03-02,"791 Maple Ave, Anytown, USA",555-6055,staff546.last130@clinic.org,password123,51284.61,2024-08-14,Full_Time,Active,JCH1835
994222992,,2,1,Staff784,Last665,M,1986-06-19,"350 Elm St, Anytown, USA",555-9573,staff784.last665@healthcare.net,password123,62011.84,2024-08-14,Shift_Based,Active,JCH5394
367791357,,8,1,Staff244,Last364,M,1991-09-27,"377 Cedar Blvd, Anytown, USA",555-5065,staff244.last364@healthcare.net,password123,61296.04,2024-08-14,Shift_Based,Active,JCH9339
597063859,,12,4,Staff338,Last207,F,1999-03-15,"355 Pine St, Anytown, USA",555-7627,staff338.last207@healthcare.net,password123,35371.28,2024-08-14,Full_Time,Active,JCH2662
473139418,,2,1,Staff184,Last659,F,1986-04-07,"785 Main St, Anytown, USA",555-2836,staff184.last659@clinic.org,password123,52443.9,2024-08-14,Shift_Based,Active,JCH6638
478046118,,7,1,Staff647,Last6,F,1985-03-14,"917 Maple Ave, Anytown, USA",555-5793,staff647.last6@healthcare.net,password123,63361.46,2024-08-14,Shift_Based,Active,JCH7068
249775406,,4,1,Staff92,Last571,F,1980-12-04,"478 Birch Rd, Anytown, USA",555-2444,staff92.last571@clinic.org,password123,58559.0,2024-08-14,Full_Time,Active,JCH2403
650797514,,4,2,Staff918,Last208,F,1960-09-10,"356 Cedar Blvd, Anytown, USA",555-5037,staff918.last208@hospital.com,password123,206946.5,2024-08-14,Full_Time,Active,JCH5870
539801027,,10,1,Staff497,Last259,F,1992-05-24,"764 Main St, Anytown, USA",555-1898,staff497.last259@healthcare.net,password123,62468.09,2024-08-14,Full_Time,Active,JCH3719
282701280,,2,3,Staff591,Last61,F,1970-12-01,"466 Pine St, Anytown, USA",555-9488,staff591.last61@hospital.com,password123,60717.22,2024-08-14,Shift_Based,Active,JCH2326
589067024,,6,2,Staff20,Last274,F,1992-11-29,"537 Pine St, Anytown, USA",555-4976,staff20.last274@healthcare.net,password123,225029.1,2024-08-14,Full_Time,Active,JCH4580
786292900,,10,5,Staff589,Last388,M,1996-04-28,"450 Cedar Blvd, Anytown, USA",555-6924,staff589.last388@hospital.com,password123,60720.92,2024-08-14,Shift_Based,Active,JCH1155
648041464,,9,3,Staff572,Last30,F,1969-02-15,"843 Cedar Blvd, Anytown, USA",555-6003,staff572.last30@healthcare.net,password123,60218.18,2024-08-14,Shift_Based,Active,JCH4326
945949998,,12,3,Staff54,Last253,F,1996-01-22,"847 Birch Rd, Anytown, USA",555-7003,staff54.last253@hospital.com,password123,45568.1,2024-08-14,Full_Time,Active,JCH5245
929817060,54.0,2,1,Staff653,Last694,F,1996-08-26,"183 Main St, Anytown, USA",555-5784,staff653.last694@clinic.org,password123,45188.81,2024-08-14,Shift_Based,Active,JCH9964
941711458,,6,1,Staff488,Last173,M,1969-05-23,"638 Pine St, Anytown, USA",555-8244,staff488.last173@hospital.com,password123,57911.26,2024-08-14,Full_Time,Active,JCH1275
184542584,,2,5,Staff346,Last936,F,1970-12-27,"310 Maple Ave, Anytown, USA",555-5023,staff346.last936@healthcare.net,password123,56197.79,2024-08-14,Full_Time,Active,JCH5949
632867714,,9,2,Staff71,Last775,M,1996-03-30,"859 Oak St, Anytown, USA",555-3937,staff71.last775@healthcare.net,password123,188421.63,2024-08-14,Full_Time,Active,JCH8188
928846921,,9,4,Staff376,Last974,M,1987-06-05,"848 Oak St, Anytown, USA",555-9452,staff376.last974@healthcare.net,password123,37735.26,2024-08-14,Shift_Based,Active,JCH9181
483815310,,11,1,Staff411,Last925,M,1985-01-03,"898 Elm St, Anytown, USA",555-3481,staff411.last925@healthcare.net,password123,54266.86,2024-08-14,Shift_Based,Active,JCH6884
828780090,,11,1,Staff751,Last421,M,1990-09-24,"884 Oak St, Anytown, USA",555-6715,staff751.last421@hospital.com,password123,54148.74,2024-08-14,Full_Time,Active,JCH5317
570720787,,3,2,Staff726,Last596,M,1990-11-28,"211 Pine St, Anytown, USA",555-6505,staff726.last596@clinic.org,password123,205342.55,2024-08-14,Full_Time,Active,JCH6504
920309685,,10,3,Staff406,Last445,F,1966-02-07,"915 Maple Ave, Anytown, USA",555-4351,staff406.last445@clinic.org,password123,45958.04,2024-08-14,Shift_Based,Active,JCH8602
890327624,68.0,4,1,Staff197,Last418,F,1972-12-10,"217 Cedar Blvd, Anytown, USA",555-6043,staff197.last418@clinic.org,password123,64759.17,2024-08-14,Full_Time,Active,JCH1619
250898949,,7,4,Staff88,Last845,F,1971-10-13,"767 Oak St, Anytown, USA",555-4274,staff88.last845@hospital.com,password123,34313.81,2024-08-14,Shift_Based,Active,JCH7971
